"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Nov 13 02:15:06 GMT 2021","Sat Nov 13 02:15:12 GMT 2021","6565","","Register a new account testSuite","","Register a new account testSuite","Wrong password : without digits","Wrong password : without digits",""
"passed","Sat Nov 13 02:14:32 GMT 2021","Sat Nov 13 02:14:46 GMT 2021","13592","","Register a new account testSuite","","Register a new account testSuite","Successful registration","Successful registration",""
"failed","Sat Nov 13 02:14:51 GMT 2021","Sat Nov 13 02:15:08 GMT 2021","16450","","Register a new account testSuite","","Register a new account testSuite","Valid email address: only capital letters in local part","Valid email address: only capital letters in local part",""
"passed","Sat Nov 13 02:15:01 GMT 2021","Sat Nov 13 02:15:10 GMT 2021","9147","","Register a new account testSuite","","Register a new account testSuite","Wrong password : cyrillic symbols","Wrong password : cyrillic symbols",""
"passed","Sat Nov 13 02:15:30 GMT 2021","Sat Nov 13 02:15:46 GMT 2021","15370","","Register a new account testSuite","","Register a new account testSuite","Wrong email : only special symbols in Local part","Wrong email : only special symbols in Local part",""
"passed","Sat Nov 13 02:15:15 GMT 2021","Sat Nov 13 02:15:24 GMT 2021","9204","","Register a new account testSuite","","Register a new account testSuite","Wrong email : without @ symbol","Wrong email : without @ symbol",""
"passed","Sat Nov 13 02:14:20 GMT 2021","Sat Nov 13 02:14:26 GMT 2021","5908","","Login test suite","","Login test suite","Empty email login","Empty email login",""
"passed","Sat Nov 13 02:14:32 GMT 2021","Sat Nov 13 02:14:45 GMT 2021","12722","","Register a new account testSuite","","Register a new account testSuite","Valid email address: printable characters !#$%&'*+-/=?^_`{|}~s in local part","Valid email address: printable characters !#$%&'*+-/=?^_`{|}~s in local part",""
"passed","Sat Nov 13 02:14:19 GMT 2021","Sat Nov 13 02:14:34 GMT 2021","15611","","Login test suite","","Login test suite","Show password button check","Show password button check",""
"passed","Sat Nov 13 02:15:00 GMT 2021","Sat Nov 13 02:15:09 GMT 2021","8849","","Register a new account testSuite","","Register a new account testSuite","Wrong password : less than 8 symbols password","Wrong password : less than 8 symbols password",""
"failed","Sat Nov 13 02:15:52 GMT 2021","Sat Nov 13 02:16:14 GMT 2021","21665","","Register a new account testSuite","","Register a new account testSuite","Wrong email : local part > 64 characters","Wrong email : local part > 64 characters",""
"passed","Sat Nov 13 02:14:20 GMT 2021","Sat Nov 13 02:14:27 GMT 2021","6883","","Login test suite","","Login test suite","Wrong password","Wrong password",""
"failed","Sat Nov 13 02:15:47 GMT 2021","Sat Nov 13 02:16:11 GMT 2021","23695","","Register a new account testSuite","","Register a new account testSuite","Wrong email : dot in the beginning of local part","Wrong email : dot in the beginning of local part",""
"passed","Sat Nov 13 02:15:07 GMT 2021","Sat Nov 13 02:15:14 GMT 2021","6995","","Register a new account testSuite","","Register a new account testSuite","Wrong email : double dot in the middle of local part","Wrong email : double dot in the middle of local part",""
"passed","Sat Nov 13 02:14:52 GMT 2021","Sat Nov 13 02:15:06 GMT 2021","14574","","Register a new account testSuite","","Register a new account testSuite","All fields are empty","All fields are empty",""
"passed","Sat Nov 13 02:15:24 GMT 2021","Sat Nov 13 02:15:40 GMT 2021","16018","","Register a new account testSuite","","Register a new account testSuite","Wrong email : only digits in local part","Wrong email : only digits in local part",""
"passed","Sat Nov 13 02:15:08 GMT 2021","Sat Nov 13 02:15:15 GMT 2021","6850","","Register a new account testSuite","","Register a new account testSuite","Wrong email : quotes and double dot in local part","Wrong email : quotes and double dot in local part",""
"passed","Sat Nov 13 02:15:24 GMT 2021","Sat Nov 13 02:15:40 GMT 2021","16368","","Register a new account testSuite","","Register a new account testSuite","Wrong email : cyrillic symbols in local part","Wrong email : cyrillic symbols in local part",""
"passed","Sat Nov 13 02:14:39 GMT 2021","Sat Nov 13 02:14:45 GMT 2021","6383","","Register a new account testSuite","","Register a new account testSuite","Valid email address: one letter local part","Valid email address: one letter local part",""
"passed","Sat Nov 13 02:14:52 GMT 2021","Sat Nov 13 02:15:05 GMT 2021","12892","","Register a new account testSuite","","Register a new account testSuite","Wrong password : only capital letters","Wrong password : only capital letters",""
"failed","Sat Nov 13 02:14:32 GMT 2021","Sat Nov 13 02:14:45 GMT 2021","13048","","Register a new account testSuite","","Register a new account testSuite","Valid email address: lowercase and capital leters in local part","Valid email address: lowercase and capital leters in local part",""
"passed","Sat Nov 13 02:14:19 GMT 2021","Sat Nov 13 02:14:34 GMT 2021","15602","","Login test suite","","Login test suite","Successful login","Successful login",""
"passed","Sat Nov 13 02:14:59 GMT 2021","Sat Nov 13 02:15:09 GMT 2021","10208","","Register a new account testSuite","","Register a new account testSuite","Wrong password : only lowercase letters","Wrong password : only lowercase letters",""
"failed","Sat Nov 13 02:15:47 GMT 2021","Sat Nov 13 02:16:11 GMT 2021","23615","","Register a new account testSuite","","Register a new account testSuite","Wrong email : dot in the end of local part","Wrong email : dot in the end of local part",""
"passed","Sat Nov 13 02:14:35 GMT 2021","Sat Nov 13 02:14:42 GMT 2021","7315","","Register a new account testSuite","","Register a new account testSuite","Valid email address: digits and dot in local part","Valid email address: digits and dot in local part",""
"passed","Sat Nov 13 02:14:37 GMT 2021","Sat Nov 13 02:14:43 GMT 2021","6411","","Register a new account testSuite","","Register a new account testSuite","Valid email address: top level domain in domain name","Valid email address: top level domain in domain name",""
"passed","Sat Nov 13 02:14:19 GMT 2021","Sat Nov 13 02:14:34 GMT 2021","15596","","Login test suite","","Login test suite","Emty password field","Emty password field",""
