"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Nov 13 01:50:57 GMT 2021","Sat Nov 13 01:51:05 GMT 2021","7783","","Register a new account testSuite","","Register a new account testSuite","Valid email address: one letter local part","Valid email address: one letter local part",""
"passed","Sat Nov 13 01:51:20 GMT 2021","Sat Nov 13 01:51:25 GMT 2021","5496","","Register a new account testSuite","","Register a new account testSuite","Wrong email : without @ symbol","Wrong email : without @ symbol",""
"passed","Sat Nov 13 01:50:40 GMT 2021","Sat Nov 13 01:50:46 GMT 2021","5448","","Login test suit","","Login test suit","Empty email login","Empty email login",""
"failed","Sat Nov 13 01:51:41 GMT 2021","Sat Nov 13 01:51:59 GMT 2021","17977","","Register a new account testSuite","","Register a new account testSuite","Wrong email : dot in the end of local part","Wrong email : dot in the end of local part",""
"failed","Sat Nov 13 01:51:44 GMT 2021","Sat Nov 13 01:52:02 GMT 2021","18575","","Register a new account testSuite","","Register a new account testSuite","Wrong email : local part > 64 characters","Wrong email : local part > 64 characters",""
"failed","Sat Nov 13 01:51:03 GMT 2021","Sat Nov 13 01:51:12 GMT 2021","9284","","Register a new account testSuite","","Register a new account testSuite","Valid email address: only capital letters in local part","Valid email address: only capital letters in local part",""
"failed","Sat Nov 13 01:50:49 GMT 2021","Sat Nov 13 01:50:58 GMT 2021","9051","","Register a new account testSuite","","Register a new account testSuite","Valid email address: lowercase and capital leters in local part","Valid email address: lowercase and capital leters in local part",""
"passed","Sat Nov 13 01:50:39 GMT 2021","Sat Nov 13 01:50:53 GMT 2021","14005","","Login test suit","","Login test suit","Emty password field","Emty password field",""
"passed","Sat Nov 13 01:50:39 GMT 2021","Sat Nov 13 01:50:53 GMT 2021","14013","","Login test suit","","Login test suit","Show password button check","Show password button check",""
"passed","Sat Nov 13 01:50:57 GMT 2021","Sat Nov 13 01:51:06 GMT 2021","8476","","Register a new account testSuite","","Register a new account testSuite","Valid email address: top level domain in domain name","Valid email address: top level domain in domain name",""
"passed","Sat Nov 13 01:51:22 GMT 2021","Sat Nov 13 01:51:28 GMT 2021","6234","","Register a new account testSuite","","Register a new account testSuite","Wrong email : cyrillic symbols in local part","Wrong email : cyrillic symbols in local part",""
"passed","Sat Nov 13 01:51:14 GMT 2021","Sat Nov 13 01:51:20 GMT 2021","5605","","Register a new account testSuite","","Register a new account testSuite","Wrong password : without digits","Wrong password : without digits",""
"passed","Sat Nov 13 01:50:49 GMT 2021","Sat Nov 13 01:51:00 GMT 2021","10369","","Register a new account testSuite","","Register a new account testSuite","Successful registration","Successful registration",""
"passed","Sat Nov 13 01:50:40 GMT 2021","Sat Nov 13 01:50:46 GMT 2021","5843","","Login test suit","","Login test suit","Wrong password","Wrong password",""
"passed","Sat Nov 13 01:51:16 GMT 2021","Sat Nov 13 01:51:21 GMT 2021","5484","","Register a new account testSuite","","Register a new account testSuite","Wrong email : double dot in the middle of local part","Wrong email : double dot in the middle of local part",""
"failed","Sat Nov 13 01:51:40 GMT 2021","Sat Nov 13 01:51:58 GMT 2021","17827","","Register a new account testSuite","","Register a new account testSuite","Wrong email : dot in the beginning of local part","Wrong email : dot in the beginning of local part",""
"passed","Sat Nov 13 01:51:23 GMT 2021","Sat Nov 13 01:51:29 GMT 2021","5749","","Register a new account testSuite","","Register a new account testSuite","Wrong email : only digits in local part","Wrong email : only digits in local part",""
"passed","Sat Nov 13 01:51:11 GMT 2021","Sat Nov 13 01:51:18 GMT 2021","6666","","Register a new account testSuite","","Register a new account testSuite","Wrong password : cyrillic symbols","Wrong password : cyrillic symbols",""
"passed","Sat Nov 13 01:51:04 GMT 2021","Sat Nov 13 01:51:11 GMT 2021","7045","","Register a new account testSuite","","Register a new account testSuite","Wrong password : only capital letters","Wrong password : only capital letters",""
"passed","Sat Nov 13 01:51:25 GMT 2021","Sat Nov 13 01:51:31 GMT 2021","5714","","Register a new account testSuite","","Register a new account testSuite","Wrong email : only special symbols in Local part","Wrong email : only special symbols in Local part",""
"passed","Sat Nov 13 01:50:49 GMT 2021","Sat Nov 13 01:50:58 GMT 2021","8971","","Register a new account testSuite","","Register a new account testSuite","Valid email address: printable characters !#$%&'*+-/=?^_`{|}~s in local part","Valid email address: printable characters !#$%&'*+-/=?^_`{|}~s in local part",""
"passed","Sat Nov 13 01:51:18 GMT 2021","Sat Nov 13 01:51:24 GMT 2021","6699","","Register a new account testSuite","","Register a new account testSuite","Wrong email : quotes and double dot in local part","Wrong email : quotes and double dot in local part",""
"passed","Sat Nov 13 01:51:04 GMT 2021","Sat Nov 13 01:51:11 GMT 2021","7045","","Register a new account testSuite","","Register a new account testSuite","All fields are empty","All fields are empty",""
"passed","Sat Nov 13 01:50:54 GMT 2021","Sat Nov 13 01:51:00 GMT 2021","6467","","Register a new account testSuite","","Register a new account testSuite","Valid email address: digits and dot in local part","Valid email address: digits and dot in local part",""
"passed","Sat Nov 13 01:50:39 GMT 2021","Sat Nov 13 01:50:53 GMT 2021","14022","","Login test suit","","Login test suit","Successful login","Successful login",""
"passed","Sat Nov 13 01:51:11 GMT 2021","Sat Nov 13 01:51:18 GMT 2021","6752","","Register a new account testSuite","","Register a new account testSuite","Wrong password : less than 8 symbols password","Wrong password : less than 8 symbols password",""
"passed","Sat Nov 13 01:51:08 GMT 2021","Sat Nov 13 01:51:14 GMT 2021","5426","","Register a new account testSuite","","Register a new account testSuite","Wrong password : only lowercase letters","Wrong password : only lowercase letters",""
