"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Nov 13 01:40:55 GMT 2021","Sat Nov 13 01:41:01 GMT 2021","5683","","Register a new account testSuite","","Register a new account testSuite","Wrong email : quotes and double dot in local part","Wrong email : quotes and double dot in local part",""
"failed","Sat Nov 13 01:41:19 GMT 2021","Sat Nov 13 01:41:38 GMT 2021","18323","","Register a new account testSuite","","Register a new account testSuite","Wrong email : dot in the end of local part","Wrong email : dot in the end of local part",""
"passed","Sat Nov 13 01:40:22 GMT 2021","Sat Nov 13 01:40:35 GMT 2021","12247","","Login test suit","","Login test suit","Emty password field","Emty password field",""
"passed","Sat Nov 13 01:40:23 GMT 2021","Sat Nov 13 01:40:28 GMT 2021","4783","","Login test suit","","Login test suit","Empty email login","Empty email login",""
"passed","Sat Nov 13 01:40:49 GMT 2021","Sat Nov 13 01:40:55 GMT 2021","5318","","Register a new account testSuite","","Register a new account testSuite","Wrong password : cyrillic symbols","Wrong password : cyrillic symbols",""
"passed","Sat Nov 13 01:41:01 GMT 2021","Sat Nov 13 01:41:07 GMT 2021","5933","","Register a new account testSuite","","Register a new account testSuite","Wrong email : only digits in local part","Wrong email : only digits in local part",""
"passed","Sat Nov 13 01:40:48 GMT 2021","Sat Nov 13 01:40:54 GMT 2021","6057","","Register a new account testSuite","","Register a new account testSuite","Wrong password : less than 8 symbols password","Wrong password : less than 8 symbols password",""
"passed","Sat Nov 13 01:40:54 GMT 2021","Sat Nov 13 01:40:59 GMT 2021","5441","","Register a new account testSuite","","Register a new account testSuite","Wrong email : double dot in the middle of local part","Wrong email : double dot in the middle of local part",""
"passed","Sat Nov 13 01:40:37 GMT 2021","Sat Nov 13 01:40:43 GMT 2021","5620","","Register a new account testSuite","","Register a new account testSuite","Valid email address: top level domain in domain name","Valid email address: top level domain in domain name",""
"passed","Sat Nov 13 01:40:42 GMT 2021","Sat Nov 13 01:40:47 GMT 2021","5011","","Register a new account testSuite","","Register a new account testSuite","All fields are empty","All fields are empty",""
"passed","Sat Nov 13 01:40:22 GMT 2021","Sat Nov 13 01:40:35 GMT 2021","12247","","Login test suit","","Login test suit","Show password button check","Show password button check",""
"passed","Sat Nov 13 01:40:48 GMT 2021","Sat Nov 13 01:40:54 GMT 2021","5795","","Register a new account testSuite","","Register a new account testSuite","Wrong password : only lowercase letters","Wrong password : only lowercase letters",""
"failed","Sat Nov 13 01:41:18 GMT 2021","Sat Nov 13 01:41:36 GMT 2021","18286","","Register a new account testSuite","","Register a new account testSuite","Wrong email : dot in the beginning of local part","Wrong email : dot in the beginning of local part",""
"failed","Sat Nov 13 01:40:32 GMT 2021","Sat Nov 13 01:40:41 GMT 2021","9105","","Register a new account testSuite","","Register a new account testSuite","Valid email address: lowercase and capital leters in local part","Valid email address: lowercase and capital leters in local part",""
"passed","Sat Nov 13 01:40:23 GMT 2021","Sat Nov 13 01:40:28 GMT 2021","5166","","Login test suit","","Login test suit","Wrong password","Wrong password",""
"failed","Sat Nov 13 01:40:42 GMT 2021","Sat Nov 13 01:40:50 GMT 2021","7744","","Register a new account testSuite","","Register a new account testSuite","Valid email address: only capital letters in local part","Valid email address: only capital letters in local part",""
"passed","Sat Nov 13 01:40:44 GMT 2021","Sat Nov 13 01:40:50 GMT 2021","6214","","Register a new account testSuite","","Register a new account testSuite","Wrong password : only capital letters","Wrong password : only capital letters",""
"failed","Sat Nov 13 01:41:23 GMT 2021","Sat Nov 13 01:41:41 GMT 2021","17967","","Register a new account testSuite","","Register a new account testSuite","Wrong email : local part > 64 characters","Wrong email : local part > 64 characters",""
"passed","Sat Nov 13 01:40:38 GMT 2021","Sat Nov 13 01:40:43 GMT 2021","5680","","Register a new account testSuite","","Register a new account testSuite","Valid email address: one letter local part","Valid email address: one letter local part",""
"passed","Sat Nov 13 01:40:32 GMT 2021","Sat Nov 13 01:40:41 GMT 2021","8747","","Register a new account testSuite","","Register a new account testSuite","Valid email address: printable characters !#$%&'*+-/=?^_`{|}~s in local part","Valid email address: printable characters !#$%&'*+-/=?^_`{|}~s in local part",""
"passed","Sat Nov 13 01:40:59 GMT 2021","Sat Nov 13 01:41:06 GMT 2021","6116","","Register a new account testSuite","","Register a new account testSuite","Wrong email : without @ symbol","Wrong email : without @ symbol",""
"passed","Sat Nov 13 01:41:05 GMT 2021","Sat Nov 13 01:41:11 GMT 2021","5874","","Register a new account testSuite","","Register a new account testSuite","Wrong email : only special symbols in Local part","Wrong email : only special symbols in Local part",""
"passed","Sat Nov 13 01:41:00 GMT 2021","Sat Nov 13 01:41:05 GMT 2021","5851","","Register a new account testSuite","","Register a new account testSuite","Wrong email : cyrillic symbols in local part","Wrong email : cyrillic symbols in local part",""
"passed","Sat Nov 13 01:40:34 GMT 2021","Sat Nov 13 01:40:39 GMT 2021","4779","","Register a new account testSuite","","Register a new account testSuite","Valid email address: digits and dot in local part","Valid email address: digits and dot in local part",""
"passed","Sat Nov 13 01:40:32 GMT 2021","Sat Nov 13 01:40:42 GMT 2021","9748","","Register a new account testSuite","","Register a new account testSuite","Successful registration","Successful registration",""
"passed","Sat Nov 13 01:40:22 GMT 2021","Sat Nov 13 01:40:35 GMT 2021","12228","","Login test suit","","Login test suit","Successful login","Successful login",""
"passed","Sat Nov 13 01:40:53 GMT 2021","Sat Nov 13 01:40:59 GMT 2021","5544","","Register a new account testSuite","","Register a new account testSuite","Wrong password : without digits","Wrong password : without digits",""
