"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Nov 13 01:48:12 GMT 2021","Sat Nov 13 01:48:17 GMT 2021","5107","","Register a new account testSuite","","Register a new account testSuite","Valid email address: top level domain in domain name","Valid email address: top level domain in domain name",""
"passed","Sat Nov 13 01:48:29 GMT 2021","Sat Nov 13 01:48:34 GMT 2021","5121","","Register a new account testSuite","","Register a new account testSuite","Wrong email : quotes and double dot in local part","Wrong email : quotes and double dot in local part",""
"passed","Sat Nov 13 01:48:09 GMT 2021","Sat Nov 13 01:48:19 GMT 2021","10448","","Register a new account testSuite","","Register a new account testSuite","Successful registration","Successful registration",""
"passed","Sat Nov 13 01:48:21 GMT 2021","Sat Nov 13 01:48:26 GMT 2021","4834","","Register a new account testSuite","","Register a new account testSuite","Wrong password : only lowercase letters","Wrong password : only lowercase letters",""
"passed","Sat Nov 13 01:48:36 GMT 2021","Sat Nov 13 01:48:40 GMT 2021","4779","","Register a new account testSuite","","Register a new account testSuite","Wrong email : only special symbols in Local part","Wrong email : only special symbols in Local part",""
"passed","Sat Nov 13 01:48:14 GMT 2021","Sat Nov 13 01:48:19 GMT 2021","5025","","Register a new account testSuite","","Register a new account testSuite","Valid email address: one letter local part","Valid email address: one letter local part",""
"passed","Sat Nov 13 01:48:28 GMT 2021","Sat Nov 13 01:48:32 GMT 2021","4774","","Register a new account testSuite","","Register a new account testSuite","Wrong email : double dot in the middle of local part","Wrong email : double dot in the middle of local part",""
"passed","Sat Nov 13 01:48:19 GMT 2021","Sat Nov 13 01:48:25 GMT 2021","5363","","Register a new account testSuite","","Register a new account testSuite","Wrong password : only capital letters","Wrong password : only capital letters",""
"passed","Sat Nov 13 01:48:23 GMT 2021","Sat Nov 13 01:48:28 GMT 2021","4798","","Register a new account testSuite","","Register a new account testSuite","Wrong password : less than 8 symbols password","Wrong password : less than 8 symbols password",""
"passed","Sat Nov 13 01:47:58 GMT 2021","Sat Nov 13 01:48:10 GMT 2021","11826","","Login test suit","","Login test suit","Successful login","Successful login",""
"failed","Sat Nov 13 01:48:53 GMT 2021","Sat Nov 13 01:49:10 GMT 2021","17351","","Register a new account testSuite","","Register a new account testSuite","Wrong email : local part > 64 characters","Wrong email : local part > 64 characters",""
"passed","Sat Nov 13 01:47:59 GMT 2021","Sat Nov 13 01:48:04 GMT 2021","4799","","Login test suit","","Login test suit","Empty email login","Empty email login",""
"passed","Sat Nov 13 01:48:09 GMT 2021","Sat Nov 13 01:48:18 GMT 2021","9613","","Register a new account testSuite","","Register a new account testSuite","Valid email address: printable characters !#$%&'*+-/=?^_`{|}~s in local part","Valid email address: printable characters !#$%&'*+-/=?^_`{|}~s in local part",""
"passed","Sat Nov 13 01:48:34 GMT 2021","Sat Nov 13 01:48:38 GMT 2021","4747","","Register a new account testSuite","","Register a new account testSuite","Wrong email : only digits in local part","Wrong email : only digits in local part",""
"passed","Sat Nov 13 01:48:18 GMT 2021","Sat Nov 13 01:48:24 GMT 2021","6049","","Register a new account testSuite","","Register a new account testSuite","All fields are empty","All fields are empty",""
"passed","Sat Nov 13 01:48:24 GMT 2021","Sat Nov 13 01:48:28 GMT 2021","4499","","Register a new account testSuite","","Register a new account testSuite","Wrong password : cyrillic symbols","Wrong password : cyrillic symbols",""
"passed","Sat Nov 13 01:47:58 GMT 2021","Sat Nov 13 01:48:03 GMT 2021","4384","","Login test suit","","Login test suit","Wrong password","Wrong password",""
"passed","Sat Nov 13 01:48:31 GMT 2021","Sat Nov 13 01:48:35 GMT 2021","4609","","Register a new account testSuite","","Register a new account testSuite","Wrong email : without @ symbol","Wrong email : without @ symbol",""
"failed","Sat Nov 13 01:48:49 GMT 2021","Sat Nov 13 01:49:06 GMT 2021","16996","","Register a new account testSuite","","Register a new account testSuite","Wrong email : dot in the beginning of local part","Wrong email : dot in the beginning of local part",""
"passed","Sat Nov 13 01:48:32 GMT 2021","Sat Nov 13 01:48:37 GMT 2021","4768","","Register a new account testSuite","","Register a new account testSuite","Wrong email : cyrillic symbols in local part","Wrong email : cyrillic symbols in local part",""
"passed","Sat Nov 13 01:48:26 GMT 2021","Sat Nov 13 01:48:31 GMT 2021","4848","","Register a new account testSuite","","Register a new account testSuite","Wrong password : without digits","Wrong password : without digits",""
"failed","Sat Nov 13 01:48:51 GMT 2021","Sat Nov 13 01:49:08 GMT 2021","16922","","Register a new account testSuite","","Register a new account testSuite","Wrong email : dot in the end of local part","Wrong email : dot in the end of local part",""
"passed","Sat Nov 13 01:48:10 GMT 2021","Sat Nov 13 01:48:16 GMT 2021","5214","","Register a new account testSuite","","Register a new account testSuite","Valid email address: digits and dot in local part","Valid email address: digits and dot in local part",""
"failed","Sat Nov 13 01:48:09 GMT 2021","Sat Nov 13 01:48:19 GMT 2021","10306","","Register a new account testSuite","","Register a new account testSuite","Valid email address: lowercase and capital leters in local part","Valid email address: lowercase and capital leters in local part",""
"passed","Sat Nov 13 01:47:58 GMT 2021","Sat Nov 13 01:48:10 GMT 2021","11720","","Login test suit","","Login test suit","Emty password field","Emty password field",""
"failed","Sat Nov 13 01:48:18 GMT 2021","Sat Nov 13 01:48:26 GMT 2021","7613","","Register a new account testSuite","","Register a new account testSuite","Valid email address: only capital letters in local part","Valid email address: only capital letters in local part",""
"passed","Sat Nov 13 01:47:58 GMT 2021","Sat Nov 13 01:48:10 GMT 2021","11740","","Login test suit","","Login test suit","Show password button check","Show password button check",""
