"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Nov 13 02:12:39 GMT 2021","Sat Nov 13 02:12:45 GMT 2021","5414","","Register a new account testSuite","","Register a new account testSuite","Wrong password : without digits","Wrong password : without digits",""
"passed","Sat Nov 13 02:12:21 GMT 2021","Sat Nov 13 02:12:27 GMT 2021","5725","","Register a new account testSuite","","Register a new account testSuite","Valid email address: top level domain in domain name","Valid email address: top level domain in domain name",""
"passed","Sat Nov 13 02:12:50 GMT 2021","Sat Nov 13 02:12:57 GMT 2021","6164","","Register a new account testSuite","","Register a new account testSuite","Wrong email : only special symbols in Local part","Wrong email : only special symbols in Local part",""
"passed","Sat Nov 13 02:12:06 GMT 2021","Sat Nov 13 02:12:19 GMT 2021","13629","","Login test suite","","Login test suite","Show password button check","Show password button check",""
"passed","Sat Nov 13 02:12:06 GMT 2021","Sat Nov 13 02:12:19 GMT 2021","13620","","Login test suite","","Login test suite","Emty password field","Emty password field",""
"failed","Sat Nov 13 02:12:16 GMT 2021","Sat Nov 13 02:12:26 GMT 2021","9848","","Register a new account testSuite","","Register a new account testSuite","Valid email address: lowercase and capital leters in local part","Valid email address: lowercase and capital leters in local part",""
"passed","Sat Nov 13 02:12:06 GMT 2021","Sat Nov 13 02:12:12 GMT 2021","5281","","Login test suite","","Login test suite","Wrong password","Wrong password",""
"passed","Sat Nov 13 02:12:29 GMT 2021","Sat Nov 13 02:12:35 GMT 2021","6779","","Register a new account testSuite","","Register a new account testSuite","Wrong password : only capital letters","Wrong password : only capital letters",""
"passed","Sat Nov 13 02:12:16 GMT 2021","Sat Nov 13 02:12:27 GMT 2021","10513","","Register a new account testSuite","","Register a new account testSuite","Successful registration","Successful registration",""
"passed","Sat Nov 13 02:12:42 GMT 2021","Sat Nov 13 02:12:48 GMT 2021","6698","","Register a new account testSuite","","Register a new account testSuite","Wrong email : double dot in the middle of local part","Wrong email : double dot in the middle of local part",""
"passed","Sat Nov 13 02:12:44 GMT 2021","Sat Nov 13 02:12:49 GMT 2021","5057","","Register a new account testSuite","","Register a new account testSuite","Wrong email : without @ symbol","Wrong email : without @ symbol",""
"passed","Sat Nov 13 02:12:07 GMT 2021","Sat Nov 13 02:12:12 GMT 2021","5252","","Login test suite","","Login test suite","Empty email login","Empty email login",""
"passed","Sat Nov 13 02:12:06 GMT 2021","Sat Nov 13 02:12:19 GMT 2021","13623","","Login test suite","","Login test suite","Successful login","Successful login",""
"passed","Sat Nov 13 02:12:48 GMT 2021","Sat Nov 13 02:12:54 GMT 2021","6402","","Register a new account testSuite","","Register a new account testSuite","Wrong email : cyrillic symbols in local part","Wrong email : cyrillic symbols in local part",""
"failed","Sat Nov 13 02:13:10 GMT 2021","Sat Nov 13 02:13:29 GMT 2021","19275","","Register a new account testSuite","","Register a new account testSuite","Wrong email : local part > 64 characters","Wrong email : local part > 64 characters",""
"passed","Sat Nov 13 02:12:34 GMT 2021","Sat Nov 13 02:12:41 GMT 2021","6893","","Register a new account testSuite","","Register a new account testSuite","Wrong password : only lowercase letters","Wrong password : only lowercase letters",""
"passed","Sat Nov 13 02:12:16 GMT 2021","Sat Nov 13 02:12:26 GMT 2021","9400","","Register a new account testSuite","","Register a new account testSuite","Valid email address: printable characters !#$%&'*+-/=?^_`{|}~s in local part","Valid email address: printable characters !#$%&'*+-/=?^_`{|}~s in local part",""
"failed","Sat Nov 13 02:13:07 GMT 2021","Sat Nov 13 02:13:26 GMT 2021","18925","","Register a new account testSuite","","Register a new account testSuite","Wrong email : dot in the beginning of local part","Wrong email : dot in the beginning of local part",""
"failed","Sat Nov 13 02:13:08 GMT 2021","Sat Nov 13 02:13:27 GMT 2021","19301","","Register a new account testSuite","","Register a new account testSuite","Wrong email : dot in the end of local part","Wrong email : dot in the end of local part",""
"passed","Sat Nov 13 02:12:35 GMT 2021","Sat Nov 13 02:12:42 GMT 2021","7073","","Register a new account testSuite","","Register a new account testSuite","Wrong password : less than 8 symbols password","Wrong password : less than 8 symbols password",""
"passed","Sat Nov 13 02:12:48 GMT 2021","Sat Nov 13 02:12:55 GMT 2021","6281","","Register a new account testSuite","","Register a new account testSuite","Wrong email : only digits in local part","Wrong email : only digits in local part",""
"passed","Sat Nov 13 02:12:19 GMT 2021","Sat Nov 13 02:12:24 GMT 2021","5334","","Register a new account testSuite","","Register a new account testSuite","Valid email address: digits and dot in local part","Valid email address: digits and dot in local part",""
"failed","Sat Nov 13 02:12:27 GMT 2021","Sat Nov 13 02:12:35 GMT 2021","7867","","Register a new account testSuite","","Register a new account testSuite","Valid email address: only capital letters in local part","Valid email address: only capital letters in local part",""
"passed","Sat Nov 13 02:12:22 GMT 2021","Sat Nov 13 02:12:27 GMT 2021","5531","","Register a new account testSuite","","Register a new account testSuite","Valid email address: one letter local part","Valid email address: one letter local part",""
"passed","Sat Nov 13 02:12:28 GMT 2021","Sat Nov 13 02:12:35 GMT 2021","6699","","Register a new account testSuite","","Register a new account testSuite","All fields are empty","All fields are empty",""
"passed","Sat Nov 13 02:12:42 GMT 2021","Sat Nov 13 02:12:49 GMT 2021","6948","","Register a new account testSuite","","Register a new account testSuite","Wrong email : quotes and double dot in local part","Wrong email : quotes and double dot in local part",""
"passed","Sat Nov 13 02:12:35 GMT 2021","Sat Nov 13 02:12:42 GMT 2021","6518","","Register a new account testSuite","","Register a new account testSuite","Wrong password : cyrillic symbols","Wrong password : cyrillic symbols",""
