"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Nov 13 02:12:38 GMT 2021","Sat Nov 13 02:12:47 GMT 2021","8807","","Register a new account testSuite","","Register a new account testSuite","Valid email address: printable characters !#$%&'*+-/=?^_`{|}~s in local part","Valid email address: printable characters !#$%&'*+-/=?^_`{|}~s in local part",""
"passed","Sat Nov 13 02:12:38 GMT 2021","Sat Nov 13 02:12:48 GMT 2021","9984","","Register a new account testSuite","","Register a new account testSuite","Successful registration","Successful registration",""
"failed","Sat Nov 13 02:13:27 GMT 2021","Sat Nov 13 02:13:46 GMT 2021","18258","","Register a new account testSuite","","Register a new account testSuite","Wrong email : dot in the end of local part","Wrong email : dot in the end of local part",""
"failed","Sat Nov 13 02:12:38 GMT 2021","Sat Nov 13 02:12:47 GMT 2021","8862","","Register a new account testSuite","","Register a new account testSuite","Valid email address: lowercase and capital leters in local part","Valid email address: lowercase and capital leters in local part",""
"passed","Sat Nov 13 02:12:57 GMT 2021","Sat Nov 13 02:13:03 GMT 2021","5477","","Register a new account testSuite","","Register a new account testSuite","Wrong password : cyrillic symbols","Wrong password : cyrillic symbols",""
"failed","Sat Nov 13 02:12:48 GMT 2021","Sat Nov 13 02:12:55 GMT 2021","7124","","Register a new account testSuite","","Register a new account testSuite","Valid email address: only capital letters in local part","Valid email address: only capital letters in local part",""
"passed","Sat Nov 13 02:12:28 GMT 2021","Sat Nov 13 02:12:42 GMT 2021","13853","","Login test suite","","Login test suite","Show password button check","Show password button check",""
"passed","Sat Nov 13 02:13:08 GMT 2021","Sat Nov 13 02:13:14 GMT 2021","6095","","Register a new account testSuite","","Register a new account testSuite","Wrong email : cyrillic symbols in local part","Wrong email : cyrillic symbols in local part",""
"failed","Sat Nov 13 02:13:30 GMT 2021","Sat Nov 13 02:13:49 GMT 2021","18362","","Register a new account testSuite","","Register a new account testSuite","Wrong email : local part > 64 characters","Wrong email : local part > 64 characters",""
"failed","Sat Nov 13 02:13:26 GMT 2021","Sat Nov 13 02:13:44 GMT 2021","18011","","Register a new account testSuite","","Register a new account testSuite","Wrong email : dot in the beginning of local part","Wrong email : dot in the beginning of local part",""
"passed","Sat Nov 13 02:12:44 GMT 2021","Sat Nov 13 02:12:51 GMT 2021","6487","","Register a new account testSuite","","Register a new account testSuite","Valid email address: one letter local part","Valid email address: one letter local part",""
"passed","Sat Nov 13 02:12:29 GMT 2021","Sat Nov 13 02:12:34 GMT 2021","5100","","Login test suite","","Login test suite","Empty email login","Empty email login",""
"passed","Sat Nov 13 02:12:44 GMT 2021","Sat Nov 13 02:12:50 GMT 2021","6240","","Register a new account testSuite","","Register a new account testSuite","Valid email address: top level domain in domain name","Valid email address: top level domain in domain name",""
"passed","Sat Nov 13 02:12:28 GMT 2021","Sat Nov 13 02:12:42 GMT 2021","13882","","Login test suite","","Login test suite","Successful login","Successful login",""
"passed","Sat Nov 13 02:12:29 GMT 2021","Sat Nov 13 02:12:35 GMT 2021","5636","","Login test suite","","Login test suite","Wrong password","Wrong password",""
"passed","Sat Nov 13 02:13:01 GMT 2021","Sat Nov 13 02:13:07 GMT 2021","5971","","Register a new account testSuite","","Register a new account testSuite","Wrong password : without digits","Wrong password : without digits",""
"passed","Sat Nov 13 02:13:06 GMT 2021","Sat Nov 13 02:13:12 GMT 2021","5400","","Register a new account testSuite","","Register a new account testSuite","Wrong email : without @ symbol","Wrong email : without @ symbol",""
"passed","Sat Nov 13 02:12:41 GMT 2021","Sat Nov 13 02:12:47 GMT 2021","5532","","Register a new account testSuite","","Register a new account testSuite","Valid email address: digits and dot in local part","Valid email address: digits and dot in local part",""
"passed","Sat Nov 13 02:12:52 GMT 2021","Sat Nov 13 02:12:59 GMT 2021","7212","","Register a new account testSuite","","Register a new account testSuite","Wrong password : only capital letters","Wrong password : only capital letters",""
"passed","Sat Nov 13 02:13:02 GMT 2021","Sat Nov 13 02:13:08 GMT 2021","6564","","Register a new account testSuite","","Register a new account testSuite","Wrong email : double dot in the middle of local part","Wrong email : double dot in the middle of local part",""
"passed","Sat Nov 13 02:13:12 GMT 2021","Sat Nov 13 02:13:18 GMT 2021","5812","","Register a new account testSuite","","Register a new account testSuite","Wrong email : only special symbols in Local part","Wrong email : only special symbols in Local part",""
"passed","Sat Nov 13 02:12:55 GMT 2021","Sat Nov 13 02:13:01 GMT 2021","6320","","Register a new account testSuite","","Register a new account testSuite","Wrong password : only lowercase letters","Wrong password : only lowercase letters",""
"passed","Sat Nov 13 02:13:03 GMT 2021","Sat Nov 13 02:13:09 GMT 2021","5816","","Register a new account testSuite","","Register a new account testSuite","Wrong email : quotes and double dot in local part","Wrong email : quotes and double dot in local part",""
"passed","Sat Nov 13 02:13:09 GMT 2021","Sat Nov 13 02:13:15 GMT 2021","6058","","Register a new account testSuite","","Register a new account testSuite","Wrong email : only digits in local part","Wrong email : only digits in local part",""
"passed","Sat Nov 13 02:12:28 GMT 2021","Sat Nov 13 02:12:42 GMT 2021","13852","","Login test suite","","Login test suite","Emty password field","Emty password field",""
"passed","Sat Nov 13 02:12:55 GMT 2021","Sat Nov 13 02:13:01 GMT 2021","6201","","Register a new account testSuite","","Register a new account testSuite","Wrong password : less than 8 symbols password","Wrong password : less than 8 symbols password",""
"passed","Sat Nov 13 02:12:49 GMT 2021","Sat Nov 13 02:12:54 GMT 2021","5427","","Register a new account testSuite","","Register a new account testSuite","All fields are empty","All fields are empty",""
